Collection date,SGTF <=30 Ct,TaqPath Positive,Percentage SGTF
2021-12-01,0,51,0.0
2021-12-02,0,38,0.0
2021-12-03,0,44,0.0
2021-12-04,1,163,0.6
2021-12-05,0,4,0.0
2021-12-06,0,28,0.0
2021-12-07,2,175,1.1
2021-12-08,1,48,2.1
2021-12-09,2,21,9.5
2021-12-10,0,23,0.0
2021-12-11,10,110,9.1
2021-12-12,1,46,2.2
2021-12-13,5,48,10.4
2021-12-14,22,127,17.3
2021-12-15,26,99,26.3
2021-12-16,29,84,34.5
2021-12-17,27,89,30.3
2021-12-18,31,76,40.8
2021-12-19,32,69,46.4
2021-12-20,106,206,51.5
2021-12-21,158,287,55.1
2021-12-22,178,308,57.8
2021-12-23,244,355,68.7
2021-12-24,226,397,56.9
2021-12-25,103,156,66.0
2021-12-26,220,331,66.5
2021-12-27,352,495,71.1
2021-12-28,212,312,67.9
2021-12-29,508,679,74.8
2021-12-30,229,319,71.8
2021-12-31,79,110,71.8
